date,ticker,action,shares,price,execution_price,cost,pnl,holding_days
2017-01-04,AMD,BUY,523,11.449999809265137,11.461449809074402,5.988349900245666,0.0,0
2017-01-04,DIS,BUY,149,100.44610891684957,100.54655502576642,14.966470228610586,0.0,0
2017-01-04,JPM,BUY,218,68.68566062973267,68.7543462903624,14.97347401728172,0.0,0
2017-01-04,BA,BUY,102,146.31249269766045,146.4588051903581,14.923874255161365,0.0,0
2017-01-04,UNH,BUY,106,140.7198047585038,140.86052456326232,14.916299304401404,0.0,0
2017-01-04,COST,BUY,110,136.00689090553485,136.1428977964404,14.960757999608834,0.0,0
2017-01-04,CVX,BUY,186,80.63142389291941,80.71205531681234,14.997444844083011,0.0,0
2017-01-04,DIA,BUY,23,167.11482733245833,167.2819421597908,3.8436410286465414,0.0,0
2017-01-04,IWM,BUY,1,121.76589407144886,121.8876599655203,0.12176589407144886,0.0,0
2017-01-11,AMD,SELL,523,11.390000343322754,11.378610342979432,5.956970179557801,-49.28201094722738,7
2017-01-11,DIA,BUY,35,167.00558293466187,167.17258851759652,5.845195402713166,0.0,0
2017-01-11,MA,BUY,1,101.82061168669333,101.92243229838002,0.10182061168669333,0.0,0
2017-03-07,NVDA,BUY,2,2.4083621866599003,2.41077054884656,0.004816724373319801,0.0,0
2017-03-21,NVDA,SELL,2,2.681573609167124,2.678892035557957,0.005363147218334249,0.5308798262044594,14
2017-03-31,COST,SELL,110,143.02119172282192,142.8781705310991,15.732331089510412,725.1476697229474,86
2017-03-31,JNJ,BUY,159,97.38681679300852,97.48420360980153,15.484503870088355,0.0,0
2017-03-31,BA,BUY,1,166.46979640722344,166.63626620363067,0.16646979640722345,0.0,0
2017-03-31,BAC,BUY,2,19.498942985064264,19.518441928049327,0.03899788597012853,0.0,0
2017-04-10,AMD,BUY,1,13.520000457763672,13.533520458221435,0.013520000457763671,0.0,0
2017-04-13,CVX,SELL,186,74.6866477270309,74.61196107930387,13.891716477227748,-1148.5092446538035,99
2017-04-13,META,BUY,100,138.7645515229059,138.9033160744288,13.876455152290589,0.0,0
2017-04-17,DIA,SELL,58,173.2786308182679,173.10535218744965,10.050160587459539,331.5349984935542,103
2017-04-17,UNH,SELL,106,143.54116985126052,143.39762868140926,15.215364004233617,253.71767251934227,103
2017-04-17,TSLA,BUY,393,20.18000030517578,20.200180305480956,7.9307401199340815,0.0,0
2017-04-17,LLY,BUY,214,70.78795054723365,70.85873849778088,15.148621417108002,0.0,0
